WL;Reflectance
915.86;0.293
917.44;0.293
919.02;0.292
920.6;0.292
922.19;0.291
923.77;0.291
925.35;0.290
926.93;0.290
928.52;0.290
930.1;0.288
931.68;0.288
933.27;0.287
934.86;0.287
936.44;0.285
938.03;0.285
939.61;0.283
941.2;0.282
942.79;0.281
944.38;0.280
945.97;0.278
947.56;0.276
949.15;0.275
950.74;0.273
952.33;0.271
953.92;0.269
955.51;0.267
957.1;0.266
958.7;0.265
960.29;0.262
961.88;0.261
963.48;0.260
965.07;0.260
966.67;0.258
968.27;0.258
969.86;0.257
971.46;0.256
973.06;0.255
974.66;0.256
976.26;0.255
977.86;0.255
979.46;0.254
981.06;0.254
982.66;0.253
984.26;0.252
985.86;0.253
987.46;0.254
989.07;0.253
990.67;0.255
992.28;0.253
993.88;0.253
995.49;0.253
997.09;0.253
998.7;0.254
