WL;Reflectance
915.86;0.159
917.44;0.159
919.02;0.159
920.6;0.159
922.19;0.158
923.77;0.159
925.35;0.158
926.93;0.158
928.52;0.158
930.1;0.157
931.68;0.158
933.27;0.157
934.86;0.157
936.44;0.157
938.03;0.156
939.61;0.157
941.2;0.156
942.79;0.156
944.38;0.156
945.97;0.155
947.56;0.154
949.15;0.154
950.74;0.154
952.33;0.154
953.92;0.153
955.51;0.153
957.1;0.153
958.7;0.152
960.29;0.151
961.88;0.151
963.48;0.151
965.07;0.150
966.67;0.150
968.27;0.150
969.86;0.149
971.46;0.150
973.06;0.149
974.66;0.150
976.26;0.148
977.86;0.149
979.46;0.149
981.06;0.148
982.66;0.148
984.26;0.149
985.86;0.149
987.46;0.148
989.07;0.147
990.67;0.147
992.28;0.148
993.88;0.148
995.49;0.149
997.09;0.145
998.7;0.148
;
